KHID	KYID	Family_Name	Source
Ap1s1/2	KH2013:KH.C10.42	KY2019:KY.Chr10.914	bZIP	HOMER
Tfap2c	KH2013:KH.C7.43	KY2019:KY.Chr7.1173	AP-2	ANISEED
Tfap4	KH2013:KH.C14.448	KY2019:KY.Chr14.930	bHLH	HOMER
Tfap4.1	KH2013:KH.C14.448	KY2019:KY.Chr14.930	bHLH	ANISEED
Arid3b	KH2013:KH.S406.9	KY2019:KY.Chr11.1362	ARID	ANISEED
Zfhx2/3/4	KH2013:KH.C3.443	KY2019:KY.Chr3.191	Homeodomain	ANISEED
Atf1	KH2013:KH.C1.26	KY2019:KY.Chr1.2051	bZIP	HOMER
Atf2/7	KH2013:KH.C7.556	KY2019:KY.Chr7.484	bZIP	HOMER
Atf3	KH2013:KH.L5.5	KY2019:KY.Chr10.1341	bZIP	HOMER
Atf3.1	KH2013:KH.L5.5	KY2019:KY.Chr10.1341	bZIP	ANISEED
Atf4b1/2	KH2013:KH.C3.137	KY2019:KY.Chr3.264	bZIP	ANISEED
Atf2/7.1	KH2013:KH.C7.556	KY2019:KY.Chr7.484	bZIP	HOMER
Hand1/2	KH2013:KH.C8.175	KY2019:KY.Chr8.248	bHLH	ANISEED
Bach1	KH2013:KH.L83.3	KY2019:KY.Chr14.1171	bZIP	HOMER
Batf/3	KH2013:KH.C3.176	KY2019:KY.Chr3.743	bZIP	HOMER
Bcl6	KH2013:KH.C4.160	KY2019:KY.Chr4.407	Zinc finger	HOMER
Bcl6.1	KH2013:KH.C4.160	KY2019:KY.Chr4.407	Zinc finger	ANISEED
Tbx19	KH2013:KH.S1404.1	KY2019:KY.Chr12.6	T-box	HOMER
Tbx19.1	KH2013:KH.S1404.1	KY2019:KY.Chr12.6	T-box	ANISEED
F1Nm26_chick	KH2013:KH.C8.652	KY2019:KY.Chr8.559	Homeodomain	ANISEED
Mycbp	KH2013:KH.C12.446	KY2019:KY.Chr12.1006	bHLH	HOMER
Camta/1/2	KH2013:KH.C4.119	KY2019:KY.Chr4.71	CAMTA	HOMER
Cir1	KH2013:KH.C5.362	KY2019:KY.Chr5.327	bHLH	HOMER
